date,platform,total_comments,insecurity_count,insecurity_ratio,negative_count,negative_ratio,失业担忧_count,替代焦虑_count,技能过时_count,职业焦虑_count,未来担忧_count,avg_likes,unique_users
2025-10-18,zhihu,8,0,0.0,0,0.0,0,0,0,0,0,1.0,8.0
2025-10-19,bili,11,0,0.0,0,0.0,0,0,0,0,0,3.3636363636363638,11.0
2025-10-19,zhihu,11,1,0.09090909090909091,0,0.0,0,0,1,0,0,3.3636363636363638,9.0
2025-10-20,bili,11,0,0.0,1,0.09090909090909091,0,0,0,0,0,2.909090909090909,9.0
2025-10-20,zhihu,4,0,0.0,0,0.0,0,0,0,0,0,1.5,4.0
2025-10-21,bili,19,0,0.0,0,0.0,0,0,0,0,0,7.2105263157894735,13.0
2025-10-21,zhihu,14,1,0.07142857142857142,0,0.0,0,1,0,0,0,1.8571428571428572,14.0
2025-10-22,bili,12,0,0.0,0,0.0,0,0,0,0,0,11.583333333333334,11.0
2025-10-22,zhihu,41,0,0.0,1,0.024390243902439025,0,0,0,0,0,1.2926829268292683,35.0
2025-10-23,bili,29,0,0.0,0,0.0,0,0,0,0,0,3.1724137931034484,28.0
2025-10-23,zhihu,17,0,0.0,0,0.0,0,0,0,0,0,1.7647058823529411,14.0
2025-10-24,bili,46,0,0.0,1,0.021739130434782608,0,0,0,0,0,4.804347826086956,34.0
2025-10-24,zhihu,37,0,0.0,1,0.02702702702702703,0,0,0,0,0,140.78378378378378,37.0
2025-10-25,bili,32,0,0.0,0,0.0,0,0,0,0,0,4.3125,29.0
2025-10-25,zhihu,25,1,0.04,1,0.04,1,0,0,0,0,24.36,23.0
2025-10-26,bili,31,0,0.0,1,0.03225806451612903,0,0,0,0,0,1.3225806451612903,27.0
2025-10-26,zhihu,48,1,0.020833333333333332,0,0.0,1,0,0,0,0,6.458333333333333,36.0
2025-10-27,bili,17,0,0.0,0,0.0,0,0,0,0,0,2.235294117647059,16.0
2025-10-27,zhihu,81,1,0.012345679012345678,1,0.012345679012345678,0,1,0,0,0,3.308641975308642,74.0
2025-10-28,bili,17,0,0.0,0,0.0,0,0,0,0,0,0.7058823529411765,15.0
2025-10-28,zhihu,106,1,0.009433962264150943,4,0.03773584905660377,1,0,0,0,0,1.8584905660377358,94.0
2025-10-29,bili,9,0,0.0,0,0.0,0,0,0,0,0,34.77777777777778,8.0
2025-10-29,zhihu,42,0,0.0,0,0.0,0,0,0,0,0,1.7142857142857142,39.0
2025-10-30,bili,11,0,0.0,0,0.0,0,0,0,0,0,0.36363636363636365,9.0
2025-10-30,zhihu,39,0,0.0,0,0.0,0,0,0,0,0,0.6410256410256411,34.0
2025-10-31,bili,4,0,0.0,0,0.0,0,0,0,0,0,1.5,4.0
2025-10-31,zhihu,29,0,0.0,0,0.0,0,0,0,0,0,2.7586206896551726,22.0
2025-11-01,bili,5,0,0.0,0,0.0,0,0,0,0,0,1.0,5.0
2025-11-01,zhihu,18,1,0.05555555555555555,0,0.0,0,0,1,0,0,1.8888888888888888,15.0
